dataset_id,method,family,seed,metric,value,threshold,support,n_cells,n_unit,analysis_axis,perturbation,level,replicate,perturbation_definition
pbmc3k,PaCMAP,relational,1,label_neighbor_recall,0.8621430376547891,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,dropout,0.4,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,local_retention,0.055092241597169564,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,trustworthiness,0.8058160309367769,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,global_rank_corr,0.65164042010965,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,label_neighbor_recall,0.793631539044731,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,UMAP,graph,0,local_retention,0.11991407632044479,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,UMAP,graph,0,trustworthiness,0.8571246637490693,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,UMAP,graph,0,global_rank_corr,0.5089387839319113,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9246146070255243,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PHATE,graph,0,local_retention,0.09598180439727065,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PHATE,graph,0,trustworthiness,0.8345632953871712,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PHATE,graph,0,global_rank_corr,0.5360418403511887,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,noise,0.0,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
